start,code,year,flfp,time,timec
28.1,IND,2017,28.2,339.036439566625,341.036439566625
28.1,IND,2019,28.3,339.036439566625,343.036439566625
28.1,IND,2018,28.2,339.036439566625,342.036439566625
28.1,IND,2021,29.7,339.036439566625,345.036439566625
28.1,IND,2016,28.1,339.036439566625,340.036439566625
28.1,IND,2020,27.8,339.036439566625,344.036439566625
28.1,IND,2022,31.4,339.036439566625,346.036439566625
28.1,IND,2023,33.2,339.036439566625,347.036439566625
28.1,IND,2015,28.1,339.036439566625,339.036439566625
28.1,IND,2025,34.9,339.036439566625,349.036439566625
28.1,IND,2024,34.8,339.036439566625,348.036439566625
28.8,LBN,2016,29.8,342.720650092941,343.720650092941
28.8,NPL,2016,29.2,342.720650092941,343.720650092941
28.8,TUN,2022,31.2,342.720650092941,349.720650092941
28.8,LBN,2018,32,342.720650092941,345.720650092941
28.8,NPL,2017,29.4,342.720650092941,344.720650092941
28.8,TUN,2023,30.5,342.720650092941,350.720650092941
28.8,TUN,2021,30.1,342.720650092941,348.720650092941
28.8,LBN,2023,25.4,342.720650092941,350.720650092941
28.8,NPL,2015,28.8,342.720650092941,342.720650092941
28.8,NPL,2025,29.6,342.720650092941,352.720650092941
28.8,TUN,2024,30.5,342.720650092941,351.720650092941
28.8,TUN,2019,31.7,342.720650092941,346.720650092941
28.8,LBN,2015,28.8,342.720650092941,342.720650092941
28.8,NPL,2019,29.4,342.720650092941,346.720650092941
28.8,LBN,2020,29.4,342.720650092941,347.720650092941
28.8,TUN,2025,30.5,342.720650092941,352.720650092941
28.8,LBN,2017,30.9,342.720650092941,344.720650092941
28.8,NPL,2024,29.4,342.720650092941,351.720650092941
28.8,TUN,2018,30.5,342.720650092941,345.720650092941
28.8,LBN,2019,33,342.720650092941,346.720650092941
28.8,NPL,2022,29.2,342.720650092941,349.720650092941
28.8,TUN,2020,29.6,342.720650092941,347.720650092941
28.8,NPL,2018,29.5,342.720650092941,345.720650092941
28.8,TUN,2017,29.4,342.720650092941,344.720650092941
28.8,NPL,2021,29.1,342.720650092941,348.720650092941
28.8,TUN,2016,29.5,342.720650092941,343.720650092941
28.8,LBN,2021,27.1,342.720650092941,348.720650092941
28.8,NPL,2023,29.3,342.720650092941,350.720650092941
28.8,NPL,2020,29.1,342.720650092941,347.720650092941
28.8,TUN,2015,28.8,342.720650092941,342.720650092941
28.8,LBN,2022,25.4,342.720650092941,349.720650092941
31.1,OMN,2022,32.4,354.457492198204,361.457492198204
31.1,OMN,2015,31.1,354.457492198204,354.457492198204
31.1,OMN,2018,32,354.457492198204,357.457492198204
31.1,OMN,2023,31.9,354.457492198204,362.457492198204
31.1,OMN,2017,32.1,354.457492198204,356.457492198204
31.1,OMN,2025,31.6,354.457492198204,364.457492198204
31.1,OMN,2016,31.8,354.457492198204,355.457492198204
31.1,OMN,2020,30.6,354.457492198204,359.457492198204
31.1,OMN,2024,31.7,354.457492198204,363.457492198204
31.1,OMN,2021,31.1,354.457492198204,360.457492198204
31.1,OMN,2019,31.8,354.457492198204,358.457492198204
34.7,TUR,2023,40.7,372.005111245823,380.005111245823
34.7,TUR,2024,41.9,372.005111245823,381.005111245823
34.7,TUR,2025,42.5,372.005111245823,382.005111245823
34.7,TUR,2018,38,372.005111245823,375.005111245823
34.7,TUR,2019,38.4,372.005111245823,376.005111245823
34.7,TUR,2015,34.7,372.005111245823,372.005111245823
