y,time
58.6,489.218731303096
58.7,489.806966597214
58.8,490.395201891331
58.9,490.983437185449
59,491.571672479566
59.1,492.159907773684
59.2,492.748143067802
59.3,493.336378361919
59.4,493.924613656037
59.5,494.549613656037
59.6,495.174613656037
59.7,495.799613656037
59.8,496.424613656037
59.9,497.049613656037
60,497.674613656037
60.1,498.299613656037
60.2,498.924613656037
60.3,499.549613656037
60.4,500.174613656037
60.5,500.799613656037
60.6,501.424613656037
60.7,502.049613656037
60.8,502.674613656037
60.9,503.299613656037
61,503.924613656037
61.1,504.549613656037
61.2,505.216280322704
61.3,505.88294698937
61.4,506.549613656037
61.5,507.216280322704
61.6,507.88294698937
61.7,508.549613656037
61.8,509.216280322704
61.9,509.88294698937
62,510.549613656037
62.1,511.216280322704
62.2,511.88294698937
62.3,512.549613656037
62.4,513.216280322704
62.5,513.88294698937
62.6,514.549613656037
62.7,515.263899370323
62.8,515.978185084608
62.9,516.692470798894
63,517.40675651318
63.1,518.121042227465
63.2,518.835327941751
63.3,519.549613656037
63.4,520.263899370322
63.5,520.978185084608
63.6,521.692470798894
63.7,522.406756513179
63.8,523.121042227465
63.9,523.835327941751
64,524.549613656036
64.1,525.318844425267
64.2,526.088075194498
64.3,526.857305963728
64.4,527.626536732959
64.5,528.39576750219
64.6,529.164998271421
64.7,529.934229040651
64.8,530.703459809882
64.9,531.472690579113
65,532.241921348343
65.1,533.011152117574
65.2,533.780382886805
65.3,534.549613656036
65.4,535.318844425266
65.5,536.1521777586
65.6,536.985511091933
65.7,537.818844425266
65.8,538.6521777586
65.9,539.485511091933
66,540.318844425267
66.1,541.1521777586
66.2,541.985511091933
66.3,542.818844425267
66.4,543.6521777586
66.5,544.485511091933
66.6,545.318844425267
66.7,546.227935334358
66.8,547.137026243449
66.9,548.046117152539
67,548.95520806163
67.1,549.864298970721
67.2,550.773389879812
67.3,551.682480788903
67.4,552.591571697994
67.5,553.500662607085
67.6,554.409753516176
67.7,555.318844425266
67.8,556.227935334357
67.9,557.137026243448
68,558.137026243448
68.1,559.137026243448
68.2,560.137026243448
68.3,561.137026243448
68.4,562.137026243448
68.5,563.137026243448
68.6,564.137026243448
68.7,565.137026243448
68.8,566.137026243448
68.9,567.137026243448
69,568.137026243448
69.1,569.248137354559
69.2,570.35924846567
69.3,571.470359576781
69.4,572.581470687893
69.5,573.692581799004
69.6,574.803692910115
69.7,575.914804021226
69.8,577.025915132337
69.9,578.137026243448
70,579.248137354559
70.1,580.35924846567
70.2,581.60924846567
70.3,582.85924846567
70.4,584.10924846567
70.5,585.35924846567
70.6,586.60924846567
70.7,587.85924846567
70.8,589.10924846567
70.9,590.35924846567
71,591.60924846567
71.1,592.85924846567
71.2,594.10924846567
71.3,595.537819894242
71.4,596.966391322813
71.5,598.394962751384
71.6,599.823534179956
71.7,601.252105608527
71.8,602.680677037099
71.9,604.10924846567
72,605.537819894242
72.1,606.966391322813
72.2,608.394962751385
72.3,610.061629418051
72.4,611.728296084718
72.5,613.394962751384
72.6,615.061629418051
72.7,616.728296084718
72.8,618.394962751384
72.9,620.061629418051
73,621.728296084718
73.1,623.394962751384
73.2,625.061629418051
73.3,627.061629418051
73.4,629.061629418051
73.5,631.061629418051
73.6,633.061629418051
73.7,635.061629418051
73.8,637.061629418051
73.9,639.061629418051
74,641.061629418051
74.1,643.061629418051
74.2,645.061629418051
74.3,647.561629418051
74.4,650.061629418051
74.5,652.561629418051
74.6,655.061629418051
74.7,657.561629418051
74.8,660.061629418051
74.9,662.561629418051
75,665.061629418051
75.1,667.561629418051
75.2,670.061629418051
75.3,673.394962751384
75.4,676.728296084718
75.5,680.061629418051
75.6,683.394962751384
75.7,686.728296084718
75.8,690.061629418051
75.9,693.394962751384
76,696.728296084718
76.1,700.061629418051
76.2,705.061629418051
76.3,710.061629418051
76.4,715.061629418051
76.5,720.061629418051
76.6,725.061629418051
76.7,730.061629418051
76.8,735.061629418051
76.9,740.061629418051
77,745.061629418051
77.1,755.061629418051
77.2,765.061629418051
77.3,775.061629418051
77.4,785.061629418051
77.5,795.061629418051
77.6,805.061629418051
77.7,815.061629418051
77.8,825.061629418051
