iso_a2,series,value
NOR,SL.TLF.ACTI.MA.ZS,82.48
NPL,SL.TLF.ACTI.MA.ZS,56.176
NRU,SL.TLF.ACTI.MA.ZS,NA
NZL,SL.TLF.ACTI.MA.ZS,85.926
OMN,SL.TLF.ACTI.MA.ZS,89.792
PAK,SL.TLF.ACTI.MA.ZS,83.032
PAN,SL.TLF.ACTI.MA.ZS,82.707
PER,SL.TLF.ACTI.MA.ZS,84.558
PHL,SL.TLF.ACTI.MA.ZS,74.531
PLW,SL.TLF.ACTI.MA.ZS,NA
PNG,SL.TLF.ACTI.MA.ZS,54.104
POL,SL.TLF.ACTI.MA.ZS,80.2
PRI,SL.TLF.ACTI.MA.ZS,63.409
PRK,SL.TLF.ACTI.MA.ZS,91.182
PRT,SL.TLF.ACTI.MA.ZS,79.789
PRY,SL.TLF.ACTI.MA.ZS,84.707
PSE,SL.TLF.ACTI.MA.ZS,NA
PYF,SL.TLF.ACTI.MA.ZS,66.283
QAT,SL.TLF.ACTI.MA.ZS,96.285
ROU,SL.TLF.ACTI.MA.ZS,76.045
RUS,SL.TLF.ACTI.MA.ZS,80.614
RWA,SL.TLF.ACTI.MA.ZS,72.504
SAU,SL.TLF.ACTI.MA.ZS,84.47
SDN,SL.TLF.ACTI.MA.ZS,NA
SEN,SL.TLF.ACTI.MA.ZS,67.333
SGP,SL.TLF.ACTI.MA.ZS,81.407
SLB,SL.TLF.ACTI.MA.ZS,87.366
SLE,SL.TLF.ACTI.MA.ZS,56.059
SLV,SL.TLF.ACTI.MA.ZS,80.664
SMR,SL.TLF.ACTI.MA.ZS,NA
SOM,SL.TLF.ACTI.MA.ZS,48.166
SRB,SL.TLF.ACTI.MA.ZS,79.499
SSD,SL.TLF.ACTI.MA.ZS,NA
STP,SL.TLF.ACTI.MA.ZS,24.088
SUR,SL.TLF.ACTI.MA.ZS,69.043
SVK,SL.TLF.ACTI.MA.ZS,79.721
SVN,SL.TLF.ACTI.MA.ZS,79.467
SWE,SL.TLF.ACTI.MA.ZS,85.346
SWZ,SL.TLF.ACTI.MA.ZS,56.2
SXM,SL.TLF.ACTI.MA.ZS,NA
SYC,SL.TLF.ACTI.MA.ZS,NA
SYR,SL.TLF.ACTI.MA.ZS,64.128
TCA,SL.TLF.ACTI.MA.ZS,NA
TCD,SL.TLF.ACTI.MA.ZS,71.532
TGO,SL.TLF.ACTI.MA.ZS,59.976
THA,SL.TLF.ACTI.MA.ZS,82.727
