month,best_est,lat,lon
2022-12-01,4,24.235603,96.063987
2022-12-01,4,21.96506,95.03061
2022-12-01,1,22.577867,95.806672
2022-12-01,1,23.173189,94.145293
2022-12-01,1,21.831513,95.423942
2022-12-01,1,21.674599,94.882795
2023-02-01,10,19.754429,97.014054
2023-07-01,5,22.577867,95.806672
2023-07-01,6,22.065361,95.195459
2023-07-01,6,20.935258,93.882647
2023-07-01,2,20.935258,93.882647
2023-07-01,16,21.27608,94.88544
2023-07-01,5,21.477117,95.179513
2023-08-01,1,22.683821,95.319527
2023-09-01,1,21.941717,95.538728
2023-09-01,3,21.968699,94.665232
2023-09-01,1,22.149919,94.883721
2023-09-01,4,18.064,97.445
2023-09-01,12,19.26302,97.06431
2023-10-01,2,23.722301,97.626941
2023-10-01,2,23.685751,97.821286
2023-10-01,1,23.574375,98.076855
2023-10-01,3,21.674599,94.882795
2023-11-01,2,23.788583,95.679642
2021-09-01,10,21.190374,94.057217
2021-09-01,2,22.279096,94.151406
2021-09-01,2,22.279096,94.151406
2022-06-01,2,22.41361,94.10583
2022-12-01,1,21.674599,94.882795
2022-12-01,4,15.436696,97.892928
2022-12-01,5,21.96506,95.03061
2022-12-01,2,19.03815,94.96447
2022-12-01,1,23.304259,95.707707
2022-12-01,11,22.03853,95.826002
2023-02-01,1,19.26302,97.06431
2023-02-01,1,21.53669,95.3115
2023-02-01,5,21.361959,94.54755
2023-02-01,3,21.791044,94.184035
2023-02-01,2,21.927259,95.574214
2023-02-01,3,22.37839,95.68533
2023-07-01,17,22.063465,95.198639
2023-07-01,2,22.943258,95.371864
2023-09-01,1,13.93944,98.08042
2023-09-01,3,21.674599,94.882795
2023-10-01,1,25.679728,96.481155
2023-10-01,2,25.679728,96.481155
2023-10-01,2,21.27608,94.88544
2023-11-01,20,22.0229,94.09206
2021-03-01,2,22.790157,95.765001
2021-09-01,3,21.674599,94.882795
2021-09-01,1,22.279096,94.151406
2021-09-01,6,22.70623,94.13022
2021-09-01,2,22.651732,94.124216
2022-04-01,1,19.55112,97.13129
2022-12-01,1,22.147711,95.190864
2022-12-01,1,16.55213,98.26714
2022-12-01,1,18.79164,96.49892
2022-12-01,1,17.63103,95.785856
2022-12-01,4,22.27152,96.04521
2022-12-01,1,22.27152,96.04521
2022-12-01,1,21.53674,95.20365
2023-02-01,3,17.474981,96.676237
2023-02-01,5,19.555138,97.611889
2023-07-01,20,21.96506,95.03061
2023-08-01,33,18.153999,96.670002
2023-08-01,2,18.40527,96.461621
2023-08-01,5,18.547024,96.580338
2023-08-01,3,24.215426,96.37562
2023-08-01,3,22.03853,95.826002
2023-09-01,10,16.537659,98.14844
2023-10-01,1,23.30941,98.231553
2023-10-01,1,21.71892,95.29385
2023-10-01,3,21.96506,95.03061
2023-10-01,6,21.63241,95.24619
2023-10-01,1,21.674599,94.882795
2021-03-01,1,16.79845,96.150408
2021-03-01,1,13,98.75
2021-03-01,1,22,96.083333
2021-09-01,5,23.2167,93.9575
2021-09-01,10,21.222425,94.21458
2021-09-01,7,21.881,94.083
2021-09-01,4,20.935258,93.882647
2021-09-01,6,19.597313,97.211902
2021-09-01,5,21.958847,95.271935
2022-02-01,2,20.911424,92.400439
2022-02-01,2,21.968699,94.665232
2022-02-01,22,22.03617,94.89762
2022-02-01,6,22.84787,95.56514
2022-02-01,2,22.84787,95.56514
2022-02-01,2,22.577867,95.806672
2022-05-01,2,21.96506,95.03061
2022-12-01,32,22.370025,94.788904
2022-12-01,1,23.957135,98.129121
2022-12-01,6,16.55213,98.26714
2022-12-01,15,16.537659,98.14844
2022-12-01,2,16.55213,98.26714
2023-01-01,8,24.58481,94.9917
2023-07-01,2,23.957135,98.129121
2023-07-01,3,23.957135,98.129121
2023-08-01,4,18.563905,95.74296
2023-08-01,2,21.383308,94.812693
2023-08-01,1,21.674599,94.882795
2023-08-01,2,22.03853,95.826002
2023-09-01,3,22.580831,95.834078
2023-09-01,5,21.793826,95.343868
2023-09-01,8,19.690687,94.786213
2023-09-01,5,22.271944,96.22111
2023-09-01,6,12.92169,98.63773
2023-10-01,2,18.495737,95.550369
2023-10-01,1,18.495737,95.550369
2023-10-01,2,21.957777,93.434
2023-10-01,3,24.752636,97.556118
2021-03-01,4,20.866666,95.866666
2021-03-01,12,16.671677,96.129601
2021-09-01,1,22.404221,93.800123
2022-02-01,5,18.28652,95.75204
2022-02-01,5,23.721358,95.914277
2022-02-01,3,19.56202,97.16808
2022-02-01,2,19.711192,97.295318
2022-05-01,3,22.55101,95.58726
2022-06-01,3,21.968699,94.665232
2022-06-01,12,21.968699,94.665232
2022-06-01,20,18.345696,96.857289
2022-12-01,4,21.222425,94.21458
2022-11-01,8,24.22052,96.14232
2022-12-01,2,24.22052,96.14232
2022-11-01,20,24.23733,96.189698
2022-12-01,6,21.369463,95.70817
2022-12-01,1,23.702184,94.591836
2023-01-01,1,22.577867,95.806672
2023-02-01,5,22.29642,95.42682
2023-02-01,3,22.29642,95.42682
2023-02-01,7,22.29642,95.42682
2023-02-01,4,21.44164,95.4992
2023-07-01,2,22.369606,96.106471
2023-07-01,3,16.36824,98.558498
2023-08-01,1,22.370025,94.788904
2023-09-01,4,22.63695,94.10897
2023-09-01,1,12.92169,98.63773
2023-09-01,4,12.92169,98.63773
2021-03-01,2,21,96
2021-03-01,1,16.773994,94.731424
2022-02-01,16,23.173189,94.145293
2022-02-01,14,22.149919,94.883721
2022-02-01,8,21.968699,94.665232
2022-02-01,2,19.711192,97.295318
2022-02-01,40,23.069173,95.2171
2022-02-01,4,22.910565,94.667077
2022-05-01,6,22.577867,95.806672
2022-06-01,4,19.674167,97.209444
2022-07-01,6,17.942742,97.702667
2022-07-01,4,23.127082,96.601751
2022-07-01,1,22.936139,93.86699
2022-12-01,1,16.55213,98.26714
2022-12-01,1,16.55213,98.26714
2022-12-01,1,16.55213,98.26714
2023-01-01,6,22.580831,95.834078
2023-01-01,3,22.147711,95.190864
2023-01-01,1,23.304259,95.707707
2023-01-01,2,22.03853,95.826002
2023-07-01,6,15.829812,97.786399
2023-07-01,1,15.829812,97.786399
2023-07-01,10,22.790157,95.765001
2023-07-01,1,21.361959,94.54755
2023-07-01,4,21.361959,94.54755
2023-08-01,4,21.778463,95.708192
2023-09-01,14,12.92169,98.63773
2021-03-01,1,18.25,96.25
2021-03-01,1,21,96
2021-06-01,9,22.677301,94.089292
2022-02-01,3,22.910565,94.667077
2022-02-01,3,21.793826,95.343868
2022-02-01,1,25.386411,97.394394
2022-02-01,1,22.842176,94.818279
2022-02-01,1,21.476844,93.722247
2022-02-01,5,19.137888,97.742
2022-05-01,1,22.29642,95.42682
2022-06-01,1,22.936139,93.86699
2022-07-01,15,21.791044,94.184035
2023-01-01,3,18.807718,96.488567
2023-01-01,1,18.22982,95.777065
2023-01-01,1,15.24645,97.85506
2023-01-01,1,15.34365,97.932579
2023-08-01,4,21.369463,95.70817
2023-08-01,4,22.03853,95.826002
2023-10-01,5,23.304259,95.707707
2023-10-01,2,23.183333,94.05
2023-10-01,9,22.315182,96.627966
2021-03-01,3,16.79845,96.150408
2021-03-01,1,16.79845,96.150408
2021-06-01,20,22.936139,93.86699
2021-06-01,20,22.28179,93.95493
2022-07-01,51,19.754429,97.014054
2022-07-01,2,24.216633,94.312156
2022-07-01,16,22.301326,95.766639
2022-07-01,25,21.699683,95.256989
2023-01-01,2,23.30941,98.231553
2023-01-01,1,19.674167,97.209444
2023-01-01,6,16.06138,97.99133
2023-01-01,10,16.06138,97.99133
2023-09-01,1,18.345696,96.857289
2021-03-01,2,9.983031,98.550446
2021-03-01,1,23.993444,97.912752
2023-01-01,31,23.30941,98.231553
2023-01-01,2,22.284856,95.449128
2023-10-01,1,23.183333,94.05
2023-10-01,2,23.304259,95.707707
2023-10-01,1,22.304616,96.739414
2023-01-01,1,21.997479,95.513824
2023-01-01,1,22.0672,95.68121
2023-10-01,1,19.26302,97.06431
2023-10-01,1,23.602184,98.730725
2023-01-01,2,22.04915,95.669937
2023-01-01,1,21.96506,95.03061
2023-01-01,1,21.88752,94.67973
2023-10-01,1,18.46006,96.54576
2023-10-01,2,22.790157,95.765001
2023-10-01,4,23.685751,97.821286
2023-10-01,1,23.574375,98.076855
2023-10-01,1,22.989489,97.938218
2021-03-01,3,18.064,97.445
2022-12-01,1,22.99814,94.032111
2023-01-01,2,18.345696,96.857289
2023-10-01,1,21.968699,94.665232
2023-10-01,1,16.554022,98.238231
2023-11-01,14,21.911791,95.243136
2021-03-01,3,20.922044,92.360793
2021-09-01,2,13,98.75
2022-02-01,30,22.830827,98.150078
2022-12-01,1,21.85337,95.51861
2022-12-01,2,21.22827,95.86648
2023-01-01,6,18.345696,96.857289
2023-01-01,2,18.345696,96.857289
2023-01-01,1,21.795605,93.436685
2023-02-01,2,19.754429,97.014054
2023-03-01,1,23.760029,96.233117
2023-04-01,1,23.692826,96.11116
2023-07-01,11,20.97855,93.96848
2023-07-01,10,20.935258,93.882647
2023-07-01,1,19.759722,97.210247
2023-07-01,3,19.759722,97.210247
2023-10-01,1,17.420489,96.994378
2023-11-01,5,24.165619,96.363356
2023-11-01,2,23.783115,94.143973
2023-11-01,2,24.003684,94.233394
2023-11-01,4,23.183333,94.05
2021-03-01,1,21.791044,94.184035
2021-09-01,31,22.69915,93.428201
2021-09-01,2,20.5,94.75
2021-09-01,20,22,93.5
2021-08-01,1,21.203101,95.443613
2023-04-01,3,21.50245,94.01144
2023-07-01,2,21.039865,94.637926
2023-11-01,20,18.642877,97.654157
2021-09-01,1,13.88634,98.13469
2022-12-01,1,21.08344,95.91545
2022-11-01,1,21.27608,94.88544
2022-11-01,1,21.27608,94.88544
2021-09-01,2,16.90102,96.59206
2021-09-01,1,19.597313,97.211902
2021-09-01,40,24.215426,96.37562
2021-09-01,4,21.44736,95.60474
2021-09-01,1,22.577867,95.806672
2022-09-01,1,19.754429,97.014054
2022-02-01,1,22.0755,95.44988
2022-02-01,20,23.104216,95.257823
2022-02-01,1,21.026495,95.648518
2023-01-01,8,23.304259,95.707707
2023-01-01,2,23.304259,95.707707
2023-01-01,21,21.96506,95.03061
2023-04-01,2,22.029,96.486
2023-07-01,7,18.18867,96.34958
2023-07-01,41,18.18867,96.34958
2022-01-01,1,21.0646,95.57581
2022-02-01,4,19.7381,96.20742
