year,value,iso3c
1996.57,1.664,SAS
1997.48,1.65,SAS
1998.39,1.632,SAS
1999.3,1.614,SAS
2000.22,1.598,SAS
2001.13,1.588,SAS
2002.04,1.586,SAS
2002.95,1.59,SAS
2003.86,1.594,SAS
2004.77,1.595,SAS
2005.68,1.59,SAS
2006.59,1.588,SAS
2007.51,1.586,SAS
2008.42,1.584,SAS
2009.33,1.579,SAS
2010.24,1.573,SAS
2011.15,1.565,SAS
2012.06,1.557,SAS
2012.97,1.549,SAS
2013.89,1.538,SAS
2014.8,1.526,SAS
2015.71,1.513,SAS
2016.62,1.499,SAS
2017.53,1.483,SAS
2018.44,1.467,SAS
2019.35,1.45,SAS
2020.27,1.431,SAS
2021.18,1.412,SAS
2022.09,1.391,SAS
2023,1.37,SAS
1951,0.754,SSF
1951.91,0.859,SSF
1952.82,0.957,SSF
1953.73,1.046,SSF
1954.65,1.126,SSF
1955.56,1.195,SSF
1956.47,1.253,SSF
1957.38,1.303,SSF
1958.29,1.345,SSF
1959.2,1.381,SSF
1960.11,1.411,SSF
1961.03,1.433,SSF
1961.94,1.445,SSF
1962.85,1.45,SSF
1963.76,1.449,SSF
1964.67,1.444,SSF
1965.58,1.432,SSF
1966.49,1.395,SSF
1967.41,1.345,SSF
1968.32,1.295,SSF
1969.23,1.258,SSF
1970.14,1.216,SSF
1971.05,1.164,SSF
1971.96,1.109,SSF
1972.87,1.056,SSF
1973.78,1.012,SSF
1974.7,0.985,SSF
1975.61,0.974,SSF
1976.52,0.97,SSF
1977.43,0.963,SSF
1978.34,0.944,SSF
1979.25,0.921,SSF
1980.16,0.898,SSF
1981.08,0.876,SSF
1981.99,0.854,SSF
1982.9,0.835,SSF
1983.81,0.808,SSF
1984.72,0.769,SSF
1985.63,0.727,SSF
1986.54,0.694,SSF
1987.46,0.679,SSF
1988.37,0.669,SSF
1989.28,0.663,SSF
1990.19,0.661,SSF
1991.1,0.664,SSF
1992.01,0.673,SSF
1992.92,0.695,SSF
1993.84,0.731,SSF
1994.75,0.771,SSF
1995.66,0.808,SSF
1996.57,0.838,SSF
1997.48,0.877,SSF
1998.39,0.923,SSF
