iso3c,date,gdp_growth
BHS,1988,0.58
BHS,1987,1.25
BHS,1986,0.06
BHS,1985,3.05
BHS,1984,12.26
BHS,1983,1.87
BHS,1982,4.93
BHS,1981,-10.79
BHS,1980,4.53
BHS,1979,23.67
BHS,1978,11.83
BHS,1977,6.84
BHS,1976,2.92
BHS,1975,-16.65
BHS,1974,-18.6
BHS,1973,5.03
BHS,1972,-6.06
BHS,1971,-1.5
BHS,1970,-9.22
BHS,1969,4.15
BHS,1968,3.44
BHS,1967,4.6
BHS,1966,4.2
BHS,1965,5.63
BHS,1964,5.47
BHS,1963,5.13
BHS,1962,5.04
BHS,1961,5.34
BHR,2024,1.85
BHR,2023,0.43
BHR,2022,4.76
BHR,2021,2.12
BHR,2020,-5.17
BHR,2019,3.38
BHR,2018,1.92
BHR,2017,-0.46
BHR,2016,-0.08
BHR,2015,-1.66
BHR,2014,-0.56
BHR,2013,1.58
BHR,2012,2.61
BHR,2011,4.79
BHR,2010,0.08
BHR,2009,-3.98
BHR,2008,0.06
BHR,2007,0.08
BHR,2006,-1.47
BHR,2005,-1.05
BHR,2004,-0.71
BHR,2003,-1.21
BHR,2002,-3.81
BHR,2001,-1.19
BHR,2000,2.56
BHR,1999,1.59
BHR,1998,2.07
BHR,1997,0.41
BHR,1996,1.4
BHR,1995,1.23
BHR,1994,-2.84
BHR,1993,9.94
BHR,1992,3.92
BHR,1991,13.83
BHR,1990,0.89
BHR,1989,-3.15
BHR,1988,3.19
BHR,1987,6.45
BHR,1986,-2.43
BHR,1985,-8.12
BHR,1984,1.35
BHR,1983,2.73
BHR,1982,-10.77
BHR,1981,-9
BHR,1980,-1.85
BHR,1979,-1.17
BHR,1978,-0.96
BHR,1977,7.61
BHR,1976,24.07
BHR,1975,-13.41
BHR,1974,2.94
BHR,1973,8.03
BHR,1972,5.85
BHR,1971,-1
BGD,2024,2.96
BGD,2023,4.49
BGD,2022,6.01
BGD,2021,6.07
BGD,2020,2.59
BGD,2019,6.97
BGD,2018,6.44
BGD,2017,5.69
BGD,2016,6.16
BGD,2015,5.6
BGD,2014,5.1
BGD,2013,5.02
BGD,2012,5.51
BGD,2011,5.5
BGD,2010,4.65
BGD,2009,4.07
BGD,2008,4.96
BGD,2007,5.91
BGD,2006,5.44
BGD,2005,5.2
BGD,2004,3.82
BGD,2003,3.23
BGD,2002,2.24
BGD,2001,3.34
BGD,2000,3.39
BGD,1999,2.7
BGD,1998,3.21
BGD,1997,2.57
BGD,1996,2.63
BGD,1995,3.19
BGD,1994,1.98
BGD,1993,2.78
BGD,1992,3.47
BGD,1991,1.53
BGD,1990,3.54
BGD,1989,0.75
BGD,1988,0.26
BGD,1987,1.47
BGD,1986,1.76
BGD,1985,0.83
BGD,1984,2.15
BGD,1983,1.13
BGD,1982,-0.63
BGD,1981,4.52
BGD,1980,-1.56
BGD,1979,2.31
BGD,1978,4.49
BGD,1977,0.15
BGD,1976,3.01
BGD,1975,-6.57
BGD,1974,6.53
BGD,1973,0.41
BGD,1972,-15.61
BGD,1971,-7.12
BGD,1970,2.92
BGD,1969,-1.62
BGD,1968,6.31
BGD,1967,-4.72
BGD,1966,-0.37
BGD,1965,-1.32
BGD,1964,7.76
BGD,1963,-3.32
BGD,1962,2.43
BGD,1961,3.11
BRB,2024,2.43
BRB,2023,2.91
BRB,2022,17.16
BRB,2021,-0.26
BRB,2020,-14.51
BRB,2019,0.05
BRB,2018,-1.47
BRB,2017,0.5
BRB,2016,1.28
BRB,2015,-1.4
BRB,2014,0.51
BRB,2013,-2.03
BRB,2012,-3.69
BRB,2011,-0.63
BRB,2010,-2.62
BRB,2009,-5.51
BRB,2008,0.11
BRB,2007,1.6
BRB,2006,5.56
BRB,2005,3.41
BRB,2004,0.83
BRB,2003,1.55
BRB,2002,0.13
BRB,2001,-2.5
BRB,2000,4.63
BRB,1999,0.3
BRB,1998,3.71
BRB,1997,4.7
BRB,1996,3.88
BRB,1995,1.85
BRB,1994,1.78
BRB,1993,0.5
BRB,1992,-6.02
BRB,1991,-4.19
BRB,1990,-3.48
BRB,1989,3.46
BRB,1988,3.31
BRB,1987,2.33
BRB,1986,4.78
BRB,1985,0.74
BRB,1984,3.22
BRB,1983,0.15
BRB,1982,-5.21
BRB,1981,-2.19
BRB,1980,4.27
BRB,1979,8.01
BRB,1978,4.91
BRB,1977,3.57
BRB,1976,4.25
BRB,1975,-2.06
BRB,1974,-4.82
BRB,1973,1.07
BRB,1972,1.08
BRB,1971,4
BRB,1970,9.53
BRB,1969,7.13
BRB,1968,6.3
BRB,1967,9.7
BRB,1966,2.91
BRB,1965,10.3
BRB,1964,3.95
BRB,1963,-6.01
BRB,1962,8.1
BRB,1961,6.65
BLR,2024,4.53
BLR,2023,4.69
BLR,2022,-3.89
BLR,2021,3.29
BLR,2020,-0.25
BLR,2019,1.65
BLR,2018,3.37
BLR,2017,2.64
BLR,2016,-2.61
BLR,2015,-3.96
BLR,2014,1.59
BLR,2013,1.04
BLR,2012,1.87
BLR,2011,5.8
BLR,2010,7.99
BLR,2009,0.45
BLR,2008,10.58
BLR,2007,9.1
BLR,2006,10.68
BLR,2005,10.15
BLR,2004,12.21
BLR,2003,7.79
BLR,2002,5.72
BLR,2001,5.26
BLR,2000,6.3
BLR,1999,3.87
BLR,1998,8.89
BLR,1997,11.86
BLR,1996,3.15
BLR,1995,-10.11
BLR,1994,-11.6
BLR,1993,-7.8
BLR,1992,-9.8
BLR,1991,-1.25
BEL,2024,0.4
BEL,2023,0.85
BEL,2022,3.12
BEL,2021,5.82
BEL,2020,-5.2
BEL,2019,1.89
BEL,2018,1.42
BEL,2017,1.08
BEL,2016,0.68
BEL,2015,0.89
BEL,2014,1.31
BEL,2013,-0.17
BEL,2012,-0.4
BEL,2011,0.61
BEL,2010,1.78
BEL,2009,-2.69
BEL,2008,-0.34
BEL,2007,2.92
BEL,2006,1.88
BEL,2005,1.76
BEL,2004,3.12
BEL,2003,0.62
BEL,2002,1.25
BEL,2001,0.75
BEL,2000,3.47
BEL,1999,3.31
BEL,1998,1.74
BEL,1997,3.54
BEL,1996,1.12
BEL,1995,2.17
BEL,1994,2.91
BEL,1993,-1.35
BEL,1992,1.12
BEL,1991,1.46
BEL,1990,2.83
BEL,1989,3.09
BEL,1988,4.39
BEL,1987,2.22
BEL,1986,1.79
BEL,1985,1.62
BEL,1984,2.47
BEL,1983,0.32
BEL,1982,0.62
BEL,1981,-0.28
BEL,1980,4.33
BEL,1979,2.25
BEL,1978,2.75
BEL,1977,0.5
BEL,1976,5.46
BEL,1975,-2.25
BEL,1974,4.24
BEL,1973,6.05
BEL,1972,4.88
BEL,1971,3.8
BEL,1970,6.25
BEL,1969,6.33
BEL,1968,3.79
BEL,1967,3.29
BEL,1966,2.46
BEL,1965,2.62
BEL,1964,5.95
BEL,1963,3.57
BEL,1962,4.79
BEL,1961,4.63
BLZ,2024,2.02
BLZ,2023,-1.55
BLZ,2022,7.25
BLZ,2021,16.64
BLZ,2020,-14.63
BLZ,2019,2.74
BLZ,2018,-1.04
BLZ,2017,-4.07
BLZ,2016,-2.31
BLZ,2015,0.62
BLZ,2014,1.72
BLZ,2013,1.87
BLZ,2012,1.73
BLZ,2011,-2.28
BLZ,2010,-1
BLZ,2009,-3.07
BLZ,2008,-4.3
BLZ,2007,0.47
BLZ,2006,1.55
BLZ,2005,-0.72
BLZ,2004,1.73
BLZ,2003,6.43
BLZ,2002,2.26
BLZ,2001,1.79
BLZ,2000,8.63
BLZ,1999,5.72
BLZ,1998,0.33
BLZ,1997,0.81
BLZ,1996,-1.86
BLZ,1995,-1.76
BLZ,1994,-2.13
BLZ,1993,4
BLZ,1992,10.41
BLZ,1991,9.41
BLZ,1990,8.93
BLZ,1989,10.53
BLZ,1988,7.38
BLZ,1987,8.28
BLZ,1986,2.2
BLZ,1985,-1.31
BLZ,1984,-0.41
BLZ,1983,-4.49
BLZ,1982,-2.57
BLZ,1981,-1.4
BLZ,1980,9.49
BLZ,1979,5.27
BLZ,1978,5.72
BLZ,1977,4.31
BLZ,1976,-2.07
BLZ,1975,1.84
BLZ,1974,12.02
BLZ,1973,3.88
BLZ,1972,8.56
BLZ,1971,2.21
BLZ,1970,2.47
BLZ,1969,2.14
BLZ,1968,4.15
BLZ,1967,1.74
BLZ,1966,1.63
BLZ,1965,1.85
BLZ,1964,2
BLZ,1963,2.13
BLZ,1962,2.26
BLZ,1961,2.3
BEN,2024,4.84
BEN,2023,3.7
