y,time,series
55.8,76.99,accessibility
55.9,77.07,accessibility
56,77.16,accessibility
56.1,77.24,accessibility
56.2,77.32,accessibility
56.3,77.41,accessibility
56.4,77.5,accessibility
56.5,77.59,accessibility
56.6,77.68,accessibility
56.7,77.77,accessibility
56.8,77.86,accessibility
56.9,77.95,accessibility
57,78.04,accessibility
57.1,78.14,accessibility
57.2,78.23,accessibility
57.3,78.32,accessibility
57.4,78.41,accessibility
57.5,78.5,accessibility
57.6,78.59,accessibility
57.7,78.68,accessibility
57.8,78.77,accessibility
57.9,78.86,accessibility
58,78.95,accessibility
58.1,79.04,accessibility
58.2,79.14,accessibility
58.3,79.23,accessibility
58.4,79.32,accessibility
58.5,79.41,accessibility
58.6,79.5,accessibility
58.7,79.59,accessibility
58.8,79.68,accessibility
58.9,79.77,accessibility
59,79.86,accessibility
59.1,79.95,accessibility
59.2,80.04,accessibility
59.3,80.14,accessibility
59.4,80.23,accessibility
59.5,80.32,accessibility
59.6,80.41,accessibility
59.7,80.5,accessibility
59.8,80.59,accessibility
59.9,80.68,accessibility
60,80.77,accessibility
60.1,80.86,accessibility
60.2,80.95,accessibility
60.3,81.04,accessibility
60.4,81.14,accessibility
60.5,81.23,accessibility
60.6,81.32,accessibility
60.7,81.41,accessibility
60.8,81.5,accessibility
60.9,81.59,accessibility
61,81.68,accessibility
61.1,81.77,accessibility
61.2,81.86,accessibility
61.3,81.95,accessibility
61.4,82.04,accessibility
61.5,82.14,accessibility
61.6,82.23,accessibility
61.7,82.32,accessibility
61.8,82.41,accessibility
61.9,82.5,accessibility
62,82.59,accessibility
62.1,82.68,accessibility
62.2,82.77,accessibility
62.3,82.86,accessibility
62.4,82.95,accessibility
62.5,83.04,accessibility
62.6,83.14,accessibility
62.7,83.23,accessibility
62.8,83.33,accessibility
62.9,83.43,accessibility
63,83.53,accessibility
63.1,83.63,accessibility
63.2,83.73,accessibility
63.3,83.83,accessibility
63.4,83.93,accessibility
63.5,84.03,accessibility
63.6,84.13,accessibility
63.7,84.23,accessibility
63.8,84.33,accessibility
63.9,84.43,accessibility
64,84.53,accessibility
64.1,84.63,accessibility
64.2,84.73,accessibility
64.3,84.83,accessibility
64.4,84.93,accessibility
64.5,85.03,accessibility
64.6,85.13,accessibility
64.7,85.23,accessibility
64.8,85.33,accessibility
64.9,85.43,accessibility
65,85.53,accessibility
65.1,85.63,accessibility
65.2,85.73,accessibility
65.3,85.83,accessibility
65.4,85.93,accessibility
65.5,86.03,accessibility
65.6,86.13,accessibility
65.7,86.23,accessibility
65.8,86.33,accessibility
65.9,86.43,accessibility
66,86.53,accessibility
66.1,86.63,accessibility
66.2,86.73,accessibility
66.3,86.83,accessibility
66.4,86.93,accessibility
66.5,87.03,accessibility
66.6,87.13,accessibility
66.7,87.23,accessibility
66.8,87.33,accessibility
66.9,87.43,accessibility
67,87.53,accessibility
67.1,87.63,accessibility
67.2,87.73,accessibility
67.3,87.83,accessibility
67.4,87.94,accessibility
67.5,88.05,accessibility
67.6,88.16,accessibility
67.7,88.27,accessibility
67.8,88.38,accessibility
67.9,88.49,accessibility
68,88.6,accessibility
68.1,88.71,accessibility
68.2,88.83,accessibility
68.3,88.94,accessibility
68.4,89.05,accessibility
68.5,89.16,accessibility
68.6,89.27,accessibility
68.7,89.38,accessibility
68.8,89.49,accessibility
68.9,89.6,accessibility
69,89.71,accessibility
69.1,89.83,accessibility
69.2,89.94,accessibility
69.3,90.05,accessibility
69.4,90.16,accessibility
69.5,90.27,accessibility
69.6,90.38,accessibility
69.7,90.49,accessibility
69.8,90.6,accessibility
69.9,90.71,accessibility
70,90.83,accessibility
70.1,90.94,accessibility
70.2,91.05,accessibility
70.3,91.16,accessibility
70.4,91.27,accessibility
70.5,91.38,accessibility
70.6,91.49,accessibility
70.7,91.6,accessibility
70.8,91.71,accessibility
70.9,91.83,accessibility
71,91.94,accessibility
71.1,92.05,accessibility
71.2,92.16,accessibility
71.3,92.28,accessibility
71.4,92.41,accessibility
71.5,92.53,accessibility
71.6,92.66,accessibility
71.7,92.78,accessibility
71.8,92.91,accessibility
71.9,93.03,accessibility
72,93.16,accessibility
72.1,93.28,accessibility
72.2,93.41,accessibility
72.3,93.53,accessibility
72.4,93.66,accessibility
72.5,93.78,accessibility
72.6,93.91,accessibility
72.7,94.03,accessibility
72.8,94.16,accessibility
72.9,94.28,accessibility
73,94.41,accessibility
73.1,94.53,accessibility
73.2,94.66,accessibility
73.3,94.78,accessibility
73.4,94.91,accessibility
73.5,95.03,accessibility
73.6,95.16,accessibility
73.7,95.28,accessibility
73.8,95.41,accessibility
73.9,95.53,accessibility
74,95.66,accessibility
74.1,95.78,accessibility
74.2,95.91,accessibility
74.3,96.03,accessibility
74.4,96.16,accessibility
74.5,96.28,accessibility
74.6,96.41,accessibility
74.7,96.53,accessibility
74.8,96.68,accessibility
74.9,96.82,accessibility
75,96.96,accessibility
75.1,97.11,accessibility
75.2,97.25,accessibility
75.3,97.39,accessibility
75.4,97.53,accessibility
75.5,97.68,accessibility
75.6,97.82,accessibility
75.7,97.96,accessibility
75.8,98.11,accessibility
75.9,98.25,accessibility
76,98.39,accessibility
76.1,98.53,accessibility
76.2,98.68,accessibility
76.3,98.82,accessibility
76.4,98.96,accessibility
76.5,99.11,accessibility
76.6,99.25,accessibility
76.7,99.39,accessibility
76.8,99.53,accessibility
76.9,99.68,accessibility
77,99.82,accessibility
77.1,99.96,accessibility
77.2,100.11,accessibility
77.3,100.25,accessibility
77.4,100.39,accessibility
77.5,100.53,accessibility
77.6,100.68,accessibility
77.7,100.82,accessibility
77.8,100.96,accessibility
77.9,101.11,accessibility
78,101.25,accessibility
78.1,101.39,accessibility
78.2,101.56,accessibility
78.3,101.72,accessibility
78.4,101.89,accessibility
78.5,102.06,accessibility
78.6,102.22,accessibility
78.7,102.39,accessibility
78.8,102.56,accessibility
78.9,102.72,accessibility
79,102.89,accessibility
79.1,103.06,accessibility
79.2,103.22,accessibility
79.3,103.39,accessibility
79.4,103.56,accessibility
79.5,103.72,accessibility
79.6,103.89,accessibility
79.7,104.06,accessibility
79.8,104.22,accessibility
79.9,104.39,accessibility
80,104.56,accessibility
80.1,104.72,accessibility
80.2,104.89,accessibility
80.3,105.06,accessibility
80.4,105.22,accessibility
80.5,105.39,accessibility
80.6,105.56,accessibility
80.7,105.72,accessibility
80.8,105.89,accessibility
80.9,106.06,accessibility
81,106.22,accessibility
81.1,106.39,accessibility
81.2,106.56,accessibility
81.3,106.72,accessibility
81.4,106.89,accessibility
81.5,107.06,accessibility
81.6,107.26,accessibility
81.7,107.46,accessibility
81.8,107.66,accessibility
81.9,107.86,accessibility
82,108.06,accessibility
82.1,108.26,accessibility
82.2,108.46,accessibility
82.3,108.66,accessibility
82.4,108.86,accessibility
82.5,109.06,accessibility
82.6,109.26,accessibility
82.7,109.46,accessibility
82.8,109.66,accessibility
82.9,109.86,accessibility
83,110.06,accessibility
83.1,110.26,accessibility
83.2,110.46,accessibility
83.3,110.66,accessibility
83.4,110.86,accessibility
83.5,111.06,accessibility
83.6,111.26,accessibility
83.7,111.46,accessibility
83.8,111.66,accessibility
83.9,111.86,accessibility
84,112.06,accessibility
84.1,112.26,accessibility
84.2,112.46,accessibility
84.3,112.66,accessibility
84.4,112.86,accessibility
84.5,113.06,accessibility
84.6,113.26,accessibility
84.7,113.46,accessibility
84.8,113.66,accessibility
84.9,113.86,accessibility
85,114.11,accessibility
85.1,114.36,accessibility
85.2,114.61,accessibility
85.3,114.86,accessibility
85.4,115.11,accessibility
85.5,115.36,accessibility
85.6,115.61,accessibility
85.7,115.86,accessibility
85.8,116.11,accessibility
85.9,116.36,accessibility
86,116.61,accessibility
86.1,116.86,accessibility
86.2,117.11,accessibility
86.3,117.36,accessibility
86.4,117.61,accessibility
86.5,117.86,accessibility
86.6,118.11,accessibility
86.7,118.36,accessibility
86.8,118.61,accessibility
86.9,118.86,accessibility
87,119.11,accessibility
87.1,119.36,accessibility
87.2,119.61,accessibility
87.3,119.86,accessibility
87.4,120.11,accessibility
87.5,120.36,accessibility
87.6,120.61,accessibility
87.7,120.86,accessibility
87.8,121.11,accessibility
87.9,121.36,accessibility
88,121.61,accessibility
88.1,121.86,accessibility
88.2,122.11,accessibility
88.3,122.36,accessibility
88.4,122.69,accessibility
88.5,123.02,accessibility
88.6,123.36,accessibility
88.7,123.69,accessibility
88.8,124.02,accessibility
88.9,124.36,accessibility
89,124.69,accessibility
89.1,125.02,accessibility
89.2,125.36,accessibility
89.3,125.69,accessibility
89.4,126.02,accessibility
89.5,126.36,accessibility
89.6,126.69,accessibility
89.7,127.02,accessibility
89.8,127.36,accessibility
89.9,127.69,accessibility
90,128.02,accessibility
90.1,128.36,accessibility
90.2,128.69,accessibility
90.3,129.02,accessibility
90.4,129.36,accessibility
90.5,129.69,accessibility
90.6,130.02,accessibility
90.7,130.36,accessibility
90.8,130.69,accessibility
90.9,131.02,accessibility
91,131.36,accessibility
91.1,131.69,accessibility
91.2,132.02,accessibility
91.3,132.36,accessibility
91.4,132.69,accessibility
91.5,133.02,accessibility
91.6,133.36,accessibility
91.7,133.86,accessibility
91.8,134.36,accessibility
91.9,134.86,accessibility
92,135.36,accessibility
92.1,135.86,accessibility
92.2,136.36,accessibility
92.3,136.86,accessibility
92.4,137.36,accessibility
92.5,137.86,accessibility
92.6,138.36,accessibility
92.7,138.86,accessibility
92.8,139.36,accessibility
92.9,139.86,accessibility
93,140.36,accessibility
93.1,140.86,accessibility
93.2,141.36,accessibility
93.3,141.86,accessibility
93.4,142.36,accessibility
93.5,142.86,accessibility
93.6,143.36,accessibility
93.7,143.86,accessibility
93.8,144.36,accessibility
93.9,144.86,accessibility
94,145.36,accessibility
94.1,145.86,accessibility
94.2,146.36,accessibility
94.3,146.86,accessibility
94.4,147.36,accessibility
94.5,147.86,accessibility
94.6,148.36,accessibility
94.7,148.86,accessibility
94.8,149.36,accessibility
94.9,149.86,accessibility
95,150.36,accessibility
95.1,151.36,accessibility
95.2,152.36,accessibility
95.3,153.36,accessibility
95.4,154.36,accessibility
95.5,155.36,accessibility
95.6,156.36,accessibility
95.7,157.36,accessibility
95.8,158.36,accessibility
95.9,159.36,accessibility
96,160.36,accessibility
96.1,161.36,accessibility
96.2,162.36,accessibility
96.3,163.36,accessibility
96.4,164.36,accessibility
96.5,165.36,accessibility
96.6,166.36,accessibility
96.7,167.36,accessibility
96.8,168.36,accessibility
96.9,169.36,accessibility
97,170.36,accessibility
97.1,171.36,accessibility
97.2,172.36,accessibility
97.3,173.36,accessibility
97.4,174.36,accessibility
97.5,175.36,accessibility
97.6,176.36,accessibility
97.7,177.36,accessibility
97.8,178.36,accessibility
97.9,179.36,accessibility
98,180.36,accessibility
98.1,181.36,accessibility
98.2,182.36,accessibility
98.3,183.36,accessibility
15.5,0,availability
15.6,0.1,availability
15.7,0.2,availability
15.8,0.3,availability
15.9,0.4,availability
16,0.5,availability
16.1,0.6,availability
16.2,0.7,availability
16.3,0.8,availability
16.4,0.9,availability
16.5,1,availability
16.6,1.1,availability
16.7,1.2,availability
16.8,1.3,availability
16.9,1.41,availability
17,1.52,availability
17.1,1.63,availability
17.2,1.74,availability
17.3,1.86,availability
17.4,1.97,availability
17.5,2.08,availability
17.6,2.19,availability
17.7,2.3,availability
17.8,2.41,availability
17.9,2.52,availability
18,2.63,availability
18.1,2.74,availability
18.2,2.86,availability
18.3,2.97,availability
18.4,3.08,availability
18.5,3.19,availability
18.6,3.3,availability
18.7,3.42,availability
18.8,3.55,availability
18.9,3.67,availability
19,3.8,availability
19.1,3.92,availability
19.2,4.05,availability
19.3,4.18,availability
19.4,4.3,availability
19.5,4.42,availability
19.6,4.55,availability
19.7,4.68,availability
19.8,4.8,availability
19.9,4.92,availability
20,5.05,availability
20.1,5.18,availability
